year,modified_currency,rate_to_pounds,source,notes
1897,bulgarian lev,25.90337166,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1898,bulgarian lev,26.22879028,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1899,bulgarian lev,26.7477616,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1900,bulgarian lev,28.3676526,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1901,bulgarian lev,28.68830454,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1902,bulgarian lev,27.25205277,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1903,bulgarian lev,25.88218128,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1904,bulgarian lev,25.70089088,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1905,bulgarian lev,25.3584536,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1906,bulgarian lev,25.34392455,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1907,bulgarian lev,25.228,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1908,bulgarian lev,25.261,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1909,bulgarian lev,25.46,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1910,bulgarian lev,25.387,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1911,bulgarian lev,25.365,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1912,bulgarian lev,25.376,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1913,bulgarian lev,25.822,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1914,bulgarian lev,26.071,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1915,bulgarian lev,32.979,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1916,bulgarian lev,33.636,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1917,bulgarian lev,39.6,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1918,bulgarian lev,34.8,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1919,bulgarian lev,107.633,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1920,bulgarian lev,239.523,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1921,bulgarian lev,436.268,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1922,bulgarian lev,664.372,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1923,bulgarian lev,580.445,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1924,bulgarian lev,614.637,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1925,bulgarian lev,670.864,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1926,bulgarian lev,675.059,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1927,bulgarian lev,674.932,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1928,bulgarian lev,676.412,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1929,bulgarian lev,674.401,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1930,bulgarian lev,675.957,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1931,bulgarian lev,636.349,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1932,bulgarian lev,496.122,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1933,bulgarian lev,472.374,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1934,bulgarian lev,430.604,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1935,bulgarian lev,413.9,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1936,bulgarian lev,416.98,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1937,bulgarian lev,414.323,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1938,bulgarian lev,412.263,"Currency_Dimitrova, Ivanov & Simenova-Ganeva_Bulgarian Lev_ICER working paper series_2009",
1858,canadian dollar,4.9157,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1859,canadian dollar,4.8893,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1860,canadian dollar,4.8893,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1861,canadian dollar,4.8,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1862,canadian dollar,4.9076,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1863,canadian dollar,4.9004,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1864,canadian dollar,4.8664,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1865,canadian dollar,4.8664,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1866,canadian dollar,4.8315,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1867,canadian dollar,4.8719,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1868,canadian dollar,4.8798,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1869,canadian dollar,4.8509,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1870,canadian dollar,4.8527,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1871,canadian dollar,4.8613,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1872,canadian dollar,4.853,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1873,canadian dollar,4.8271,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1874,canadian dollar,4.8572,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1875,canadian dollar,4.8425,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1876,canadian dollar,4.8558,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1877,canadian dollar,4.8395,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1878,canadian dollar,4.8294,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1879,canadian dollar,4.8365,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1880,canadian dollar,4.836,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1881,canadian dollar,4.8233,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1882,canadian dollar,4.8442,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1883,canadian dollar,4.8294,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1884,canadian dollar,4.8348,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1885,canadian dollar,4.8384,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1886,canadian dollar,4.8486,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1887,canadian dollar,4.831,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1888,canadian dollar,4.8523,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1889,canadian dollar,4.8486,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1890,canadian dollar,4.8237,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1891,canadian dollar,4.8359,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1892,canadian dollar,4.855,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1893,canadian dollar,4.8377,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1894,canadian dollar,4.8632,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1895,canadian dollar,4.8775,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1896,canadian dollar,4.8523,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1897,canadian dollar,4.8421,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1898,canadian dollar,4.8243,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1899,canadian dollar,4.8307,"Currency_Denzel (2010), 441-442.",Quebec and Montreal on London
1909,canadian dollar,4.87443723,"Currency_Denzel (2010), 444 and US Dollar.",Montreal on New York
1910,canadian dollar,4.8665133,"Currency_Denzel (2010), 444 and US Dollar.",Montreal on New York
1911,canadian dollar,4.86511344,"Currency_Denzel (2010), 444 and US Dollar.",Montreal on New York
1912,canadian dollar,4.870974,"Currency_Denzel (2010), 444 and US Dollar.",Montreal on New York
1913,canadian dollar,4.87156103,"Currency_Denzel (2010), 444 and US Dollar.",Montreal on New York
1914,canadian dollar,4.87264828,"Currency_Denzel (2010), 444 and US Dollar.",Montreal on New York
1924,canadian dollar,4.47619047619,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1925,canadian dollar,4.829,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1926,canadian dollar,4.858,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1927,canadian dollar,4.861,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1928,canadian dollar,4.87087087087,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1929,canadian dollar,4.89106433031,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1930,canadian dollar,4.87143631263,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1931,canadian dollar,4.70990022845,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1932,canadian dollar,3.97721135074,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1933,canadian dollar,4.52749639344,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1934,canadian dollar,4.99590378738,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1935,canadian dollar,4.92420115059,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1936,canadian dollar,4.98184230118,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1937,canadian dollar,4.94067005076,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1938,canadian dollar,4.91630337308,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1939,canadian dollar,4.61765305115,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1827,chilean peso,5.256,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1830,chilean peso,5.455,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1831,chilean peso,5.393,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1832,chilean peso,5.333,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1833,chilean peso,5.378,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1834,chilean peso,5.246,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1835,chilean peso,5.363,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1836,chilean peso,5.363,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1837,chilean peso,5.371,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1838,chilean peso,5.333,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1839,chilean peso,5.275,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1840,chilean peso,5.304,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1841,chilean peso,5.275,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1842,chilean peso,5.246,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1843,chilean peso,5.275,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1844,chilean peso,5.371,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1845,chilean peso,5.393,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1846,chilean peso,5.401,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1847,chilean peso,5.455,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1848,chilean peso,5.517,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1849,chilean peso,5.393,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1850,chilean peso,5.215,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1851,chilean peso,5.234,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1852,chilean peso,5.225,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1853,chilean peso,5.086,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1854,chilean peso,5.154,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1855,chilean peso,5.246,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1856,chilean peso,5.26,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1857,chilean peso,5.26,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1858,chilean peso,5.275,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1859,chilean peso,5.235,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1860,chilean peso,5.482,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos corrientes.
1861,chilean peso,5.395,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1862,chilean peso,5.28,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1863,chilean peso,5.401,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1864,chilean peso,5.396,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1865,chilean peso,5.244,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1866,chilean peso,5.208,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1867,chilean peso,5.22,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1868,chilean peso,5.21,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1869,chilean peso,5.213,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1870,chilean peso,5.256,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1871,chilean peso,5.335,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1872,chilean peso,5.249,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1873,chilean peso,5.394,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1874,chilean peso,5.378,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1875,chilean peso,5.478,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1876,chilean peso,5.917,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1877,chilean peso,5.706,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1878,chilean peso,6.033,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1879,chilean peso,7.37,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1880,chilean peso,7.882,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1881,chilean peso,7.166,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1882,chilean peso,6.799,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1883,chilean peso,6.858,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1884,chilean peso,7.742,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1885,chilean peso,9.435,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1886,chilean peso,10.964,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1887,chilean peso,10.036,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1888,chilean peso,9.143,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1889,chilean peso,9.035,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1890,chilean peso,9.974,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1891,chilean peso,13.226,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1892,chilean peso,13.012,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1893,chilean peso,16.08,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1894,chilean peso,19.468,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1895,chilean peso,14.458,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1896,chilean peso,13.74,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1897,chilean peso,13.687,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1898,chilean peso,15.352,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1899,chilean peso,17.036,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1900,chilean peso,14.253,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1901,chilean peso,15.041,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1902,chilean peso,15.926,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Gold pesos or notes.
1903,chilean peso,14.365,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1904,chilean peso,14.467,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1905,chilean peso,15.269,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1906,chilean peso,16.893,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1907,chilean peso,19.887,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1908,chilean peso,25.558,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1909,chilean peso,22.402,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1910,chilean peso,22.115,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1911,chilean peso,22.431,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1912,chilean peso,23.656,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1913,chilean peso,24.521,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1914,chilean peso,25.627,"Currency_Denzel (2010), 480-481.",Valparaiso on London. Pesos or notes.
1924,chilean peso,42.0761904762,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1925,chilean peso,41.6293103448,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1926,chilean peso,40.1487603306,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1927,chilean peso,40.173553719,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1928,chilean peso,40.2148760331,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1929,chilean peso,40.2706269324,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1930,chilean peso,40.2297879735,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1931,chilean peso,37.5695284544,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1932,chilean peso,44.2945856773,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1933,chilean peso,55.5753921486,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1934,chilean peso,49.7237174898,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1935,chilean peso,96.4230816126,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1936,chilean peso,97.1600056759,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1937,chilean peso,95.5892453195,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1938,chilean peso,94.4740374574,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1939,chilean peso,85.7116899698,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1850,chinese haikwan tael,3.03971456437,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1851,chinese haikwan tael,3.04282902601,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1852,chinese haikwan tael,3.06797637334,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1853,chinese haikwan tael,3.01809057865,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1854,chinese haikwan tael,3.01809057865,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1855,chinese haikwan tael,3.02732021344,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1856,chinese haikwan tael,3.02732021344,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1857,chinese haikwan tael,3.00587158845,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1858,chinese haikwan tael,3.02732021344,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1859,chinese haikwan tael,2.99073628337,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1860,chinese haikwan tael,3.00891705105,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1861,chinese haikwan tael,3.05221082157,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1862,chinese haikwan tael,2.90909090909,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1863,chinese haikwan tael,2.82352941176,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1864,chinese haikwan tael,2.69662921348,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1865,chinese haikwan tael,2.88288288288,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1866,chinese haikwan tael,2.87425149701,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1867,chinese haikwan tael,2.93577981651,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1868,chinese haikwan tael,3.11688311688,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1869,chinese haikwan tael,3.00940438871,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1870,chinese haikwan tael,3.01886792453,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1871,chinese haikwan tael,3.07692307692,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1872,chinese haikwan tael,3.00940438871,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1873,chinese haikwan tael,3.11688311688,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1874,chinese haikwan tael,3.15270935961,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1875,chinese haikwan tael,3.23450134771,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1876,chinese haikwan tael,3.36134453782,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1877,chinese haikwan tael,3.33333333333,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1878,chinese haikwan tael,3.35664335664,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1879,chinese haikwan tael,3.56437408106,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1880,chinese haikwan tael,3.44703770197,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1881,chinese haikwan tael,3.60902255639,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1882,chinese haikwan tael,3.50364963504,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1883,chinese haikwan tael,3.5687732342,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1884,chinese haikwan tael,3.58208955224,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1885,chinese haikwan tael,3.77952755906,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1886,chinese haikwan tael,3.99168399168,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1887,chinese haikwan tael,4.12017167382,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1888,chinese haikwan tael,4.25720620843,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1889,chinese haikwan tael,4.22907488987,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1890,chinese haikwan tael,3.85542168675,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1891,chinese haikwan tael,4.06779661017,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1892,chinese haikwan tael,4.59330143541,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1893,chinese haikwan tael,5.07936507937,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1894,chinese haikwan tael,6.25407166124,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1895,chinese haikwan tael,6.11464968153,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1896,chinese haikwan tael,6,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
1897,chinese haikwan tael,6.71328671329,"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",
