slug,acronym,author,name,edition_date,country,pages,volume,shelf_number,dates,notes
"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 12. BNF : LC5-138 (AA)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Côtes d'Afrique,,12,BNF: LC5-138 (AA),,
"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 14. BNF : LC5-138 (B)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Côtes d'Afrique,,14,BNF: LC5-138 (B),,
"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 7. BNF : LC5-138 (AA)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Côtes d'Afrique,,7,BNF: LC5-138 (AA),,
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 11. BNF : LC5-138 (BC)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,11,BNF: LC5-138 (BC),,
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 13. BNF : LC5-138 (BC)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,13,BNF: LC5-138 (BC),,
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 15. BNF : LC5-138 (BC)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,15,BNF: LC5-138 (BC),,
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 18. BNF : LC5-138 (BC)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,18,BNF: LC5-138 (BC),,
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 24. BNF : LC5-138 (BC)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,24,BNF: LC5-138 (BC),,
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 6. BNF : LC5-138 (BC)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,6,BNF: LC5-138 (BC),,
"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 8. BNF : LC5-138 (BC)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Danemark,,8,BNF: LC5-138 (BC),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 1. BNF : LC5-138 (BG)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,1,BNF: LC5-138 (BG),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 10. BNF : LC5-138 (BG)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,10,BNF: LC5-138 (BG),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 13. BNF : LC5-138 (BG)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,13,BNF: LC5-138 (BG),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 15. BNF : LC5-138 (Bi)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,15,BNF: LC5-138 (BI),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 16. BNF : LC5-138 (Bi)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,16,BNF: LC5-138 (BI),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 17. BNF : LC5-138 (Bi)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,17,BNF: LC5-138 (BI),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 19. BNF : LC5-138 (Bi)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,19,BNF: LC5-138 (BI),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 3. BNF : LC5-138 (BG)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,3,BNF: LC5-138 (BG),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 4. BNF : LC5-138 (Bi)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,4,BNF: LC5-138 (BI),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 5. BNF : LC5-138 (Bi)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,5,BNF: LC5-138 (BI),,
"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,7,BNF: LC5-138 (BG),,
