year,reporting,partner,flow,expimp,nb,"group_concat(distinct partner)"
1875,"United Kingdom","Turkey (Ottoman Empire)",5889905.0,Exp,2,"European Turkey,Asian Turkey"
1875,"United Kingdom","Turkey (Ottoman Empire)",6555714.0,Imp,2,"European Turkey,Asian Turkey"
1875,"United Kingdom","United States of America",21868279.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1875,"United Kingdom","United States of America",69590054.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1876,"United Kingdom","Russia (USSR)",6182838.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1876,"United Kingdom","Russia (USSR)",17574488.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1876,"United Kingdom","Turkey (Ottoman Empire)",5922825.0,Exp,2,"European Turkey,Asian Turkey"
1876,"United Kingdom","Turkey (Ottoman Empire)",7444323.0,Imp,2,"European Turkey,Asian Turkey"
1876,"United Kingdom","United States of America",16833517.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1876,"United Kingdom","United States of America",75899008.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1877,"United Kingdom","Russia (USSR)",4178641.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1877,"United Kingdom","Russia (USSR)",22142422.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1877,"United Kingdom","Turkey (Ottoman Empire)",5624910.0,Exp,2,"European Turkey,Asian Turkey"
1877,"United Kingdom","Turkey (Ottoman Empire)",6852108.0,Imp,2,"European Turkey,Asian Turkey"
1877,"United Kingdom","United States of America",16376814.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1877,"United Kingdom","United States of America",77825973.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1878,"United Kingdom","Russia (USSR)",6559482.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1878,"United Kingdom","Russia (USSR)",17803852.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1878,"United Kingdom","Turkey (Ottoman Empire)",7748007.0,Exp,2,"European Turkey,Asian Turkey"
1878,"United Kingdom","United States of America",14552076.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1878,"United Kingdom","United States of America",89146170.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1879,"United Kingdom","Russia (USSR)",7644629.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1879,"United Kingdom","Russia (USSR)",15876585.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1879,"United Kingdom","Turkey (Ottoman Empire)",7208240.0,Exp,2,"European Turkey,Asian Turkey"
1879,"United Kingdom","United States of America",20321990.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1879,"United Kingdom","United States of America",91818295.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1880,"United Kingdom","Russia (USSR)",7952226.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1880,"United Kingdom","Russia (USSR)",16029695.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1880,"United Kingdom","Turkey (Ottoman Empire)",6765966.0,Exp,2,"European Turkey,Asian Turkey"
1880,"United Kingdom","United States of America",30855871.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1880,"United Kingdom","United States of America",107081260.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1881,"United Kingdom",India,17284758.0,Exp,2,"Chennai (Madras),Bengal"
1881,"United Kingdom","Russia (USSR)",6165077.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1881,"United Kingdom","Russia (USSR)",14053221.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1881,"United Kingdom","Turkey (Ottoman Empire)",6879127.0,Exp,2,"European Turkey,Asian Turkey"
1881,"United Kingdom","United States of America",29796298.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1881,"United Kingdom","United States of America",103207829.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1882,"United Kingdom",India,17128556.0,Exp,2,"Chennai (Madras),Bengal"
1882,"United Kingdom","Russia (USSR)",5771847.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1882,"United Kingdom","Russia (USSR)",21047722.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1882,"United Kingdom","Turkey (Ottoman Empire)",6422542.0,Exp,2,"European Turkey,Asian Turkey"
1882,"United Kingdom","United States of America",30970147.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1882,"United Kingdom","United States of America",88352613.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1883,"United Kingdom",India,18126268.0,Exp,2,"Chennai (Madras),Bengal"
1883,"United Kingdom","Russia (USSR)",5036614.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1883,"United Kingdom","Russia (USSR)",20976182.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1883,"United Kingdom","Turkey (Ottoman Empire)",6689775.0,Exp,2,"European Turkey,Asian Turkey"
1883,"United Kingdom","United States of America",27372968.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1883,"United Kingdom","United States of America",99238960.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1884,"United Kingdom",India,17054199.0,Exp,2,"Chennai (Madras),Bengal"
1884,"United Kingdom","Russia (USSR)",4993618.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1884,"United Kingdom","Russia (USSR)",16315411.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1884,"United Kingdom","Turkey (Ottoman Empire)",6393568.0,Exp,2,"European Turkey,Asian Turkey"
1884,"United Kingdom","United States of America",24426636.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1884,"United Kingdom","United States of America",86278541.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1885,"United Kingdom",India,15639553.0,Exp,2,"Chennai (Madras),Bengal"
1885,"United Kingdom","Russia (USSR)",4191552.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1885,"United Kingdom","Russia (USSR)",17712426.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1885,"United Kingdom","Turkey (Ottoman Empire)",6132795.0,Exp,2,"European Turkey,Asian Turkey"
1885,"United Kingdom","United States of America",21993821.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1885,"United Kingdom","United States of America",86478813.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1886,"United Kingdom",India,16954728.0,Exp,2,"Chennai (Madras),Bengal"
1886,"United Kingdom",India,21316057.0,Imp,2,"Chennai (Madras),Bengal"
1886,"United Kingdom","Russia (USSR)",4424317.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1886,"United Kingdom","Russia (USSR)",13571786.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1886,"United Kingdom","Turkey (Ottoman Empire)",5907486.0,Exp,2,"European Turkey,Asian Turkey"
1886,"United Kingdom","Turkey (Ottoman Empire)",4154720.0,Imp,2,"European Turkey,Asian Turkey"
1886,"United Kingdom","United States of America",26824876.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1886,"United Kingdom","United States of America",81600197.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1887,"United Kingdom",India,16263295.0,Exp,2,"Chennai (Madras),Bengal"
1887,"United Kingdom",India,20945506.0,Imp,2,"Chennai (Madras),Bengal"
1887,"United Kingdom","Russia (USSR)",4166964.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1887,"United Kingdom","Russia (USSR)",15974289.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1887,"United Kingdom","Turkey (Ottoman Empire)",5639002.0,Exp,2,"European Turkey,Asian Turkey"
1887,"United Kingdom","Turkey (Ottoman Empire)",3736987.0,Imp,2,"European Turkey,Asian Turkey"
1887,"United Kingdom","United States of America",29547800.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1887,"United Kingdom","United States of America",83049074.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1888,"United Kingdom",India,17088201.0,Exp,2,"Chennai (Madras),Bengal"
1888,"United Kingdom",India,21167956.0,Imp,2,"Chennai (Madras),Bengal"
1888,"United Kingdom","Russia (USSR)",4810075.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1888,"United Kingdom","Russia (USSR)",26315213.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1888,"United Kingdom","Turkey (Ottoman Empire)",5079622.0,Exp,2,"European Turkey,Asian Turkey"
1888,"United Kingdom","Turkey (Ottoman Empire)",4242075.0,Imp,2,"European Turkey,Asian Turkey"
1888,"United Kingdom","United States of America",28897060.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1888,"United Kingdom","United States of America",79763018.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1889,"United Kingdom",India,16508932.0,Exp,2,"Chennai (Madras),Bengal"
1889,"United Kingdom",India,23336240.0,Imp,2,"Chennai (Madras),Bengal"
1889,"United Kingdom","Russia (USSR)",5332258.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1889,"United Kingdom","Russia (USSR)",27154490.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1889,"United Kingdom","Turkey (Ottoman Empire)",6167494.0,Exp,2,"European Turkey,Asian Turkey"
1889,"United Kingdom","Turkey (Ottoman Empire)",5265373.0,Imp,2,"European Turkey,Asian Turkey"
1889,"United Kingdom","United States of America",30293942.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1889,"United Kingdom","United States of America",95461475.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1890,"United Kingdom",India,17513559.0,Exp,2,"Chennai (Madras),Bengal"
1890,"United Kingdom",India,20836977.0,Imp,2,"Chennai (Madras),Bengal"
1890,"United Kingdom","Russia (USSR)",5751601.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1890,"United Kingdom","Russia (USSR)",23750868.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1890,"United Kingdom","Turkey (Ottoman Empire)",6772061.0,Exp,2,"European Turkey,Asian Turkey"
1890,"United Kingdom","Turkey (Ottoman Empire)",4816883.0,Imp,2,"European Turkey,Asian Turkey"
1890,"United Kingdom","United States of America",32068128.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1890,"United Kingdom","United States of America",97283349.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1891,"United Kingdom","Russia (USSR)",5407402.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1891,"United Kingdom","Russia (USSR)",24110251.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1891,"United Kingdom","United States of America",27544553.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1891,"United Kingdom","United States of America",104409050.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1892,"United Kingdom","Russia (USSR)",5357081.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1892,"United Kingdom","Russia (USSR)",15122677.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1892,"United Kingdom","United States of America",26547234.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1892,"United Kingdom","United States of America",108186317.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1893,"United Kingdom","Russia (USSR)",6372236.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1893,"United Kingdom","Russia (USSR)",18574565.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1893,"United Kingdom","United States of America",23957352.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1893,"United Kingdom","United States of America",91783847.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1894,"United Kingdom","Russia (USSR)",6884480.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1894,"United Kingdom","Russia (USSR)",23598748.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1894,"United Kingdom","United States of America",18799485.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1894,"United Kingdom","United States of America",89607392.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1895,"United Kingdom","Indonesia (Dutch East Indies)",1740079.0,Exp,2,"Java,Dutch Borneo"
1895,"United Kingdom","Russia (USSR)",7004537.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1895,"United Kingdom","Russia (USSR)",24736919.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1895,"United Kingdom","United States of America",27948112.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1895,"United Kingdom","United States of America",86548860.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1896,"United Kingdom","Indonesia (Dutch East Indies)",1892914.0,Exp,2,"Java,Dutch Borneo"
1896,"United Kingdom","Russia (USSR)",7185185.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1896,"United Kingdom","Russia (USSR)",22677443.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1896,"United Kingdom","Turkey (Ottoman Empire)",4983910.0,Exp,2,"European Turkey,Asian Turkey"
1896,"United Kingdom","Turkey (Ottoman Empire)",5230075.0,Imp,2,"European Turkey,Asian Turkey"
1896,"United Kingdom","United States of America",20424225.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1896,"United Kingdom","United States of America",106347349.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1897,"United Kingdom","Indonesia (Dutch East Indies)",1826497.0,Exp,2,"Java,Dutch Borneo"
1897,"United Kingdom","Russia (USSR)",7513165.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1897,"United Kingdom","Russia (USSR)",22284365.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1897,"United Kingdom","Turkey (Ottoman Empire)",6456397.0,Exp,2,"European Turkey,Asian Turkey"
1897,"United Kingdom","Turkey (Ottoman Empire)",6150163.0,Imp,2,"European Turkey,Asian Turkey"
1897,"United Kingdom","United States of America",20994631.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1897,"United Kingdom","United States of America",113041627.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1898,"United Kingdom","Canada (Province of Canada)",5838000.0,Exp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1898,"United Kingdom","Canada (Province of Canada)",20403610.0,Imp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1898,"United Kingdom","Indonesia (Dutch East Indies)",1919730.0,Exp,2,"Java,Dutch Borneo"
1898,"United Kingdom","Russia (USSR)",9227968.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1898,"United Kingdom","Russia (USSR)",19489514.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1898,"United Kingdom","Turkey (Ottoman Empire)",6118316.0,Exp,2,"European Turkey,Asian Turkey"
1898,"United Kingdom","Turkey (Ottoman Empire)",4880792.0,Imp,2,"European Turkey,Asian Turkey"
1898,"United Kingdom","United States of America",14716489.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1898,"United Kingdom","United States of America",126062155.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1899,"United Kingdom","Canada (Province of Canada)",6969535.0,Exp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1899,"United Kingdom","Canada (Province of Canada)",20205740.0,Imp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1899,"United Kingdom","Indonesia (Dutch East Indies)",2176620.0,Exp,2,"Java,Dutch Borneo"
1899,"United Kingdom","Indonesia (Dutch East Indies)",280003.0,Imp,2,"Java,Dutch Borneo"
1899,"United Kingdom","Russia (USSR)",11720333.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1899,"United Kingdom","Russia (USSR)",21983952.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1899,"United Kingdom","Turkey (Ottoman Empire)",5240501.0,Exp,2,"European Turkey,Asian Turkey"
1899,"United Kingdom","Turkey (Ottoman Empire)",5648727.0,Imp,2,"European Turkey,Asian Turkey"
1899,"United Kingdom","United States of America",18119380.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1899,"United Kingdom","United States of America",138789261.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1900,"United Kingdom","Canada (Province of Canada)",7605257.0,Exp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1900,"United Kingdom","Canada (Province of Canada)",21764021.0,Imp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1900,"United Kingdom","Indonesia (Dutch East Indies)",2560639.0,Exp,2,"Java,Dutch Borneo"
1900,"United Kingdom","Indonesia (Dutch East Indies)",280003.0,Imp,2,"Java,Dutch Borneo"
1900,"United Kingdom","Russia (USSR)",11001300.0,Exp,2,"Russia (North Ports),Russia (South Ports)"
1900,"United Kingdom","Russia (USSR)",21983952.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1900,"United Kingdom","Turkey (Ottoman Empire)",5013453.0,Exp,2,"European Turkey,Asian Turkey"
1900,"United Kingdom","Turkey (Ottoman Empire)",5648727.0,Imp,2,"European Turkey,Asian Turkey"
1900,"United Kingdom","United States of America",19780831.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1900,"United Kingdom","United States of America",138789261.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1901,"United Kingdom","Canada (Province of Canada)",7785472.0,Exp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1901,"United Kingdom","Canada (Province of Canada)",19854585.0,Imp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1901,"United Kingdom",India,19392223.0,Exp,2,"Chennai (Madras),Bengal"
1901,"United Kingdom",India,20233561.0,Imp,2,"Chennai (Madras),Bengal"
1901,"United Kingdom","Indonesia (Dutch East Indies)",2031525.0,Exp,2,"Java,Dutch Borneo"
1901,"United Kingdom","Indonesia (Dutch East Indies)",297662.0,Imp,2,"Java,Dutch Borneo"
1901,"United Kingdom","Russia (USSR)",8673334.0,Exp,2,"Russia (North and Pacific Ports),Russia (South Ports)"
1901,"United Kingdom","Russia (USSR)",21903574.0,Imp,2,"Russia (North and Pacific Ports),Russia (South Ports)"
1901,"United Kingdom","Turkey (Ottoman Empire)",6767240.0,Exp,2,"European Turkey,Asian Turkey"
1901,"United Kingdom","Turkey (Ottoman Empire)",5707777.0,Imp,2,"European Turkey,Asian Turkey"
1901,"United Kingdom","United States of America",18393883.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1901,"United Kingdom","United States of America",141015465.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1902,"United Kingdom","Canada (Province of Canada)",10345256.0,Exp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1902,"United Kingdom","Canada (Province of Canada)",22964537.0,Imp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1902,"United Kingdom",India,18956630.0,Exp,2,"Chennai (Madras),Bengal"
1902,"United Kingdom",India,20172989.0,Imp,2,"Chennai (Madras),Bengal"
1902,"United Kingdom","Indonesia (Dutch East Indies)",2044465.0,Exp,2,"Java,Dutch Borneo"
1902,"United Kingdom","Indonesia (Dutch East Indies)",188149.0,Imp,2,"Java,Dutch Borneo"
1902,"United Kingdom","Russia (USSR)",8635393.0,Exp,2,"Russia (North and Pacific Ports),Russia (South Ports)"
1902,"United Kingdom","Russia (USSR)",25673958.0,Imp,2,"Russia (North and Pacific Ports),Russia (South Ports)"
1902,"United Kingdom","Turkey (Ottoman Empire)",6024697.0,Exp,2,"European Turkey,Asian Turkey"
1902,"United Kingdom","Turkey (Ottoman Empire)",6111460.0,Imp,2,"European Turkey,Asian Turkey"
1902,"United Kingdom","United States of America",23760913.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1902,"United Kingdom","United States of America",126961601.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1903,"United Kingdom","Canada (Province of Canada)",11112577.0,Exp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1903,"United Kingdom","Canada (Province of Canada)",26669855.0,Imp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1903,"United Kingdom",India,18753454.0,Exp,2,"Chennai (Madras),Bengal"
1903,"United Kingdom",India,20481413.0,Imp,2,"Chennai (Madras),Bengal"
1903,"United Kingdom","Indonesia (Dutch East Indies)",2027784.0,Exp,2,"Java,Dutch Borneo"
1903,"United Kingdom","Indonesia (Dutch East Indies)",522509.0,Imp,2,"Java,Dutch Borneo"
1903,"United Kingdom","Russia (USSR)",9114434.0,Exp,2,"Russia (North and Pacific Ports),Russia (South Ports)"
1903,"United Kingdom","Russia (USSR)",30932997.0,Imp,2,"Russia (North and Pacific Ports),Russia (South Ports)"
1903,"United Kingdom","Turkey (Ottoman Empire)",5511661.0,Exp,2,"European Turkey,Asian Turkey"
1903,"United Kingdom","Turkey (Ottoman Empire)",5859132.0,Imp,2,"European Turkey,Asian Turkey"
1903,"United Kingdom","United States of America",22605131.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1903,"United Kingdom","United States of America",122112652.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1904,"United Kingdom","Canada (Province of Canada)",10624221.0,Exp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1904,"United Kingdom","Canada (Province of Canada)",22621164.0,Imp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1904,"United Kingdom",India,21686722.0,Exp,2,"Chennai (Madras),Bengal"
1904,"United Kingdom",India,22696891.0,Imp,2,"Chennai (Madras),Bengal"
1904,"United Kingdom","Indonesia (Dutch East Indies)",2971723.0,Exp,2,"Java,Dutch Borneo"
1904,"United Kingdom","Indonesia (Dutch East Indies)",1187594.0,Imp,2,"Java,Dutch Borneo"
1904,"United Kingdom","Russia (USSR)",8229577.0,Exp,2,"Russia (North and Pacific Ports),Russia (South Ports)"
1904,"United Kingdom","Russia (USSR)",31402838.0,Imp,2,"Russia (North and Pacific Ports),Russia (South Ports)"
1904,"United Kingdom","Turkey (Ottoman Empire)",7298617.0,Exp,2,"European Turkey,Asian Turkey"
1904,"United Kingdom","Turkey (Ottoman Empire)",5746731.0,Imp,2,"European Turkey,Asian Turkey"
1904,"United Kingdom","United States of America",20197579.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1904,"United Kingdom","United States of America",119227802.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1905,"United Kingdom","Canada (Province of Canada)",11909244.0,Exp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1905,"United Kingdom","Canada (Province of Canada)",25695898.0,Imp,2,"Canada (Atlantic Coast),Canada (Pacific Coast)"
1905,"United Kingdom",India,23189942.0,Exp,2,"Chennai (Madras),Bengal"
1905,"United Kingdom",India,22112378.0,Imp,2,"Chennai (Madras),Bengal"
1905,"United Kingdom","Indonesia (Dutch East Indies)",3043415.0,Exp,2,"Java,Dutch Borneo"
1905,"United Kingdom","Indonesia (Dutch East Indies)",1907355.0,Imp,2,"Java,Dutch Borneo"
1905,"United Kingdom","Russia (USSR)",33366234.0,Imp,2,"Russia (North Ports),Russia (South Ports)"
1905,"United Kingdom","Turkey (Ottoman Empire)",6631386.0,Exp,2,"European Turkey,Asian Turkey"
1905,"United Kingdom","Turkey (Ottoman Empire)",5473307.0,Imp,2,"European Turkey,Asian Turkey"
1905,"United Kingdom","United States of America",23915918.0,Exp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1905,"United Kingdom","United States of America",115573051.0,Imp,2,"United States of America (Atlantic Coast),United States of America (Pacific Coast)"
1906,"United Kingdom",India,23865763.0,Exp,2,"Chennai (Madras),Bengal"
1906,"United Kingdom","Indonesia (Dutch East Indies)",2977981.0,Exp,2,"Java,Dutch Borneo"
1906,"United Kingdom","Indonesia (Dutch East Indies)",1093571.0,Imp,2,"Java,Dutch Borneo"
1906,"United Kingdom","Turkey (Ottoman Empire)",8016431.0,Exp,2,"European Turkey,Asian Turkey"
1906,"United Kingdom","Turkey (Ottoman Empire)",5803010.0,Imp,2,"European Turkey,Asian Turkey"
1907,"United Kingdom",India,28060437.0,Exp,2,"Chennai (Madras),Bengal"
1907,"United Kingdom","Indonesia (Dutch East Indies)",3356557.0,Exp,2,"Java,Dutch Borneo"
1907,"United Kingdom","Indonesia (Dutch East Indies)",1844438.0,Imp,2,"Java,Dutch Borneo"
1907,"United Kingdom","Turkey (Ottoman Empire)",7493737.0,Exp,2,"European Turkey,Asian Turkey"
1907,"United Kingdom","Turkey (Ottoman Empire)",5797828.0,Imp,2,"European Turkey,Asian Turkey"
1908,"United Kingdom",India,24989881.0,Exp,2,"Chennai (Madras),Bengal"
1908,"United Kingdom","Indonesia (Dutch East Indies)",3099466.0,Exp,2,"Java,Dutch Borneo"
1908,"United Kingdom","Indonesia (Dutch East Indies)",1600894.0,Imp,2,"Java,Dutch Borneo"
1908,"United Kingdom","Turkey (Ottoman Empire)",6948982.0,Exp,2,"European Turkey,Asian Turkey"
1908,"United Kingdom","Turkey (Ottoman Empire)",5001743.0,Imp,2,"European Turkey,Asian Turkey"
1909,"United Kingdom",India,23062069.0,Exp,2,"Chennai (Madras),Bengal"
1909,"United Kingdom","Indonesia (Dutch East Indies)",3156627.0,Exp,2,"Java,Dutch Borneo"
1909,"United Kingdom","Indonesia (Dutch East Indies)",1995341.0,Imp,2,"Java,Dutch Borneo"
1909,"United Kingdom","Turkey (Ottoman Empire)",7564281.0,Exp,2,"European Turkey,Asian Turkey"
1909,"United Kingdom","Turkey (Ottoman Empire)",5091698.0,Imp,2,"European Turkey,Asian Turkey"
1910,"United Kingdom",India,23081092.0,Exp,2,"Chennai (Madras),Bengal"
1910,"United Kingdom","Indonesia (Dutch East Indies)",3439963.0,Exp,2,"Java,Dutch Borneo"
1910,"United Kingdom","Indonesia (Dutch East Indies)",3064462.0,Imp,2,"Java,Dutch Borneo"
1910,"United Kingdom","Turkey (Ottoman Empire)",8569904.0,Exp,2,"European Turkey,Asian Turkey"
1910,"United Kingdom","Turkey (Ottoman Empire)",4598665.0,Imp,2,"European Turkey,Asian Turkey"
1911,"United Kingdom","Indonesia (Dutch East Indies)",4608742.0,Exp,2,"Java,Dutch Borneo"
1911,"United Kingdom","Indonesia (Dutch East Indies)",4552392.0,Imp,2,"Java,Dutch Borneo"
1911,"United Kingdom","Turkey (Ottoman Empire)",9396044.0,Exp,2,"European Turkey,Asian Turkey"
1911,"United Kingdom","Turkey (Ottoman Empire)",5513747.0,Imp,2,"European Turkey,Asian Turkey"
1912,"United Kingdom","Indonesia (Dutch East Indies)",5223008.0,Exp,2,"Java,Dutch Borneo"
1912,"United Kingdom","Indonesia (Dutch East Indies)",5328810.0,Imp,2,"Java,Dutch Borneo"
1912,"United Kingdom","Turkey (Ottoman Empire)",8040331.0,Exp,2,"European Turkey,Asian Turkey"
1912,"United Kingdom","Turkey (Ottoman Empire)",6409315.0,Imp,2,"European Turkey,Asian Turkey"
1913,"United Kingdom","Indonesia (Dutch East Indies)",5815068.0,Exp,2,"Java,Dutch Borneo"
1913,"United Kingdom","Indonesia (Dutch East Indies)",2503358.0,Imp,2,"Java,Dutch Borneo"
