year,modified_currency,rate_to_pounds,source,notes
1915,bulgarian lev,32.979,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1916,bulgarian lev,33.636,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1917,bulgarian lev,39.6,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1918,bulgarian lev,34.8,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1919,bulgarian lev,107.633,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1920,bulgarian lev,239.523,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1921,bulgarian lev,436.268,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1922,bulgarian lev,664.372,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1923,bulgarian lev,580.445,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1924,bulgarian lev,614.637,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1925,bulgarian lev,670.864,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1926,bulgarian lev,675.059,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1927,bulgarian lev,674.932,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1928,bulgarian lev,676.412,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1929,bulgarian lev,674.401,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1930,bulgarian lev,675.957,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1931,bulgarian lev,636.349,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1932,bulgarian lev,496.122,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1933,bulgarian lev,472.374,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1934,bulgarian lev,430.604,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1935,bulgarian lev,413.9,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1936,bulgarian lev,416.98,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1937,bulgarian lev,414.323,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1938,bulgarian lev,412.263,DimitrovaKIvanovMRSimenovaganeva_EffectiveExchangeRateOfTheBulgarianLev18791939,
1858,canadian dollar,4.9157,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1859,canadian dollar,4.8893,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1860,canadian dollar,4.8893,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1861,canadian dollar,4.8,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1862,canadian dollar,4.9076,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1863,canadian dollar,4.9004,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1864,canadian dollar,4.8664,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1865,canadian dollar,4.8664,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1866,canadian dollar,4.8315,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1867,canadian dollar,4.8719,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1868,canadian dollar,4.8798,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1869,canadian dollar,4.8509,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1870,canadian dollar,4.8527,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1871,canadian dollar,4.8613,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1872,canadian dollar,4.853,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1873,canadian dollar,4.8271,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1874,canadian dollar,4.8572,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1875,canadian dollar,4.8425,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1876,canadian dollar,4.8558,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1877,canadian dollar,4.8395,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1878,canadian dollar,4.8294,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1879,canadian dollar,4.8365,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1880,canadian dollar,4.836,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1881,canadian dollar,4.8233,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1882,canadian dollar,4.8442,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1883,canadian dollar,4.8294,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1884,canadian dollar,4.8348,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1885,canadian dollar,4.8384,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1886,canadian dollar,4.8486,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1887,canadian dollar,4.831,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1888,canadian dollar,4.8523,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1889,canadian dollar,4.8486,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1890,canadian dollar,4.8237,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1891,canadian dollar,4.8359,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1892,canadian dollar,4.855,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1893,canadian dollar,4.8377,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1894,canadian dollar,4.8632,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1895,canadian dollar,4.8775,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1896,canadian dollar,4.8523,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1897,canadian dollar,4.8421,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1898,canadian dollar,4.8243,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1899,canadian dollar,4.8307,DenzelMA_HandbookOfWorldExchangeRates15901914_441442,Quebec and Montreal on London
1909,canadian dollar,4.87443723,DenzelMA_HandbookOfWorldExchangeRates15901914_444,Montreal on New York
1910,canadian dollar,4.8665133,DenzelMA_HandbookOfWorldExchangeRates15901914_444,Montreal on New York
1911,canadian dollar,4.86511344,DenzelMA_HandbookOfWorldExchangeRates15901914_444,Montreal on New York
1912,canadian dollar,4.870974,DenzelMA_HandbookOfWorldExchangeRates15901914_444,Montreal on New York
1913,canadian dollar,4.8639,HistoricalStatisticsOfCanada_SeriesJ560567,
1914,canadian dollar,4.9019,HistoricalStatisticsOfCanada_SeriesJ560567,
1924,canadian dollar,4.4671,HistoricalStatisticsOfCanada_SeriesJ560567,
1925,canadian dollar,4.8305,HistoricalStatisticsOfCanada_SeriesJ560567,
1926,canadian dollar,4.855,HistoricalStatisticsOfCanada_SeriesJ560567,
1927,canadian dollar,4.8573,HistoricalStatisticsOfCanada_SeriesJ560567,
1928,canadian dollar,4.8706,HistoricalStatisticsOfCanada_SeriesJ560567,
1929,canadian dollar,4.8938,HistoricalStatisticsOfCanada_SeriesJ560567,
1930,canadian dollar,4.8698,HistoricalStatisticsOfCanada_SeriesJ560567,
1931,canadian dollar,4.7078,HistoricalStatisticsOfCanada_SeriesJ560567,
1932,canadian dollar,3.9801,HistoricalStatisticsOfCanada_SeriesJ560567,
1933,canadian dollar,4.6073,HistoricalStatisticsOfCanada_SeriesJ560567,
1934,canadian dollar,4.9891,HistoricalStatisticsOfCanada_SeriesJ560567,
1935,canadian dollar,4.9268,HistoricalStatisticsOfCanada_SeriesJ560567,
1936,canadian dollar,4.9745,HistoricalStatisticsOfCanada_SeriesJ560567,
1937,canadian dollar,4.9432,HistoricalStatisticsOfCanada_SeriesJ560567,
1938,canadian dollar,4.9162,HistoricalStatisticsOfCanada_SeriesJ560567,
1939,canadian dollar,4.6105,HistoricalStatisticsOfCanada_SeriesJ560567,
1827,chilean peso,5.256,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1830,chilean peso,5.455,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1831,chilean peso,5.393,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1832,chilean peso,5.333,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1833,chilean peso,5.378,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1834,chilean peso,5.246,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1835,chilean peso,5.363,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1836,chilean peso,5.363,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1837,chilean peso,5.371,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1838,chilean peso,5.333,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1839,chilean peso,5.275,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1840,chilean peso,5.304,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1841,chilean peso,5.275,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1842,chilean peso,5.246,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1843,chilean peso,5.275,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1844,chilean peso,5.371,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1845,chilean peso,5.393,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1846,chilean peso,5.401,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1847,chilean peso,5.455,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1848,chilean peso,5.517,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1849,chilean peso,5.393,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1850,chilean peso,5.215,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1851,chilean peso,5.234,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1852,chilean peso,5.225,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1853,chilean peso,5.086,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1854,chilean peso,5.154,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1855,chilean peso,5.246,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1856,chilean peso,5.26,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1857,chilean peso,5.26,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1858,chilean peso,5.275,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1859,chilean peso,5.235,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1860,chilean peso,5.482,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos corrientes.
1861,chilean peso,5.395,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1862,chilean peso,5.28,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1863,chilean peso,5.401,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1864,chilean peso,5.396,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1865,chilean peso,5.244,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1866,chilean peso,5.208,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1867,chilean peso,5.22,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1868,chilean peso,5.21,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1869,chilean peso,5.213,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1870,chilean peso,5.256,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1871,chilean peso,5.335,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1872,chilean peso,5.249,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1873,chilean peso,5.394,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1874,chilean peso,5.378,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1875,chilean peso,5.478,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1876,chilean peso,5.917,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1877,chilean peso,5.706,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1878,chilean peso,6.033,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1879,chilean peso,7.37,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1880,chilean peso,7.882,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1881,chilean peso,7.166,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1882,chilean peso,6.799,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1883,chilean peso,6.858,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1884,chilean peso,7.742,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1885,chilean peso,9.435,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1886,chilean peso,10.964,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1887,chilean peso,10.036,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1888,chilean peso,9.143,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1889,chilean peso,9.035,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1890,chilean peso,9.974,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1891,chilean peso,13.226,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1892,chilean peso,13.012,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1893,chilean peso,16.08,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1894,chilean peso,19.468,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1895,chilean peso,14.458,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1896,chilean peso,13.74,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1897,chilean peso,13.687,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1898,chilean peso,15.352,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1899,chilean peso,17.036,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1900,chilean peso,14.253,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1901,chilean peso,15.041,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1902,chilean peso,15.926,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Gold pesos or notes.
1903,chilean peso,14.365,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1904,chilean peso,14.467,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1905,chilean peso,15.269,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1906,chilean peso,16.893,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1907,chilean peso,19.887,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1908,chilean peso,25.558,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1909,chilean peso,22.402,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1910,chilean peso,22.115,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1911,chilean peso,22.431,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1912,chilean peso,23.656,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1913,chilean peso,24.521,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1914,chilean peso,25.627,DenzelMA_HandbookOfWorldExchangeRates15901914_480481,Valparaiso on London. Pesos or notes.
1924,chilean peso,42.0761904762,StatisticalYearbookOfTheLeagueOfNations,
1925,chilean peso,41.6293103448,StatisticalYearbookOfTheLeagueOfNations,
1926,chilean peso,40.1487603306,StatisticalYearbookOfTheLeagueOfNations,
1927,chilean peso,40.173553719,StatisticalYearbookOfTheLeagueOfNations,
1928,chilean peso,40.2148760331,StatisticalYearbookOfTheLeagueOfNations,
1929,chilean peso,40.2706269324,StatisticalYearbookOfTheLeagueOfNations,
1930,chilean peso,40.2297879735,StatisticalYearbookOfTheLeagueOfNations,
1931,chilean peso,37.5695284544,StatisticalYearbookOfTheLeagueOfNations,
1932,chilean peso,44.2945856773,StatisticalYearbookOfTheLeagueOfNations,
1933,chilean peso,55.5753921486,StatisticalYearbookOfTheLeagueOfNations,
1934,chilean peso,49.7237174898,StatisticalYearbookOfTheLeagueOfNations,
1935,chilean peso,96.4230816126,StatisticalYearbookOfTheLeagueOfNations,
1936,chilean peso,97.1600056759,StatisticalYearbookOfTheLeagueOfNations,
1937,chilean peso,95.5892453195,StatisticalYearbookOfTheLeagueOfNations,
1938,chilean peso,94.4740374574,StatisticalYearbookOfTheLeagueOfNations,
1939,chilean peso,85.7116899698,StatisticalYearbookOfTheLeagueOfNations,
1850,chinese haikwan tael,3.03971456437,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1851,chinese haikwan tael,3.04282902601,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1852,chinese haikwan tael,3.06797637334,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1853,chinese haikwan tael,3.01809057865,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1854,chinese haikwan tael,3.01809057865,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1855,chinese haikwan tael,3.02732021344,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1856,chinese haikwan tael,3.02732021344,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1857,chinese haikwan tael,3.00587158845,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1858,chinese haikwan tael,3.02732021344,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1859,chinese haikwan tael,2.99073628337,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1860,chinese haikwan tael,3.00891705105,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1861,chinese haikwan tael,3.05221082157,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1862,chinese haikwan tael,2.90909090909,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1863,chinese haikwan tael,2.82352941176,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1864,chinese haikwan tael,2.69662921348,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1865,chinese haikwan tael,2.88288288288,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1866,chinese haikwan tael,2.87425149701,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1867,chinese haikwan tael,2.93577981651,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1868,chinese haikwan tael,3.11688311688,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1869,chinese haikwan tael,3.00940438871,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1870,chinese haikwan tael,3.01886792453,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1871,chinese haikwan tael,3.07692307692,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1872,chinese haikwan tael,3.00940438871,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1873,chinese haikwan tael,3.11688311688,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1874,chinese haikwan tael,3.15270935961,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1875,chinese haikwan tael,3.23450134771,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1876,chinese haikwan tael,3.36134453782,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1877,chinese haikwan tael,3.33333333333,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1878,chinese haikwan tael,3.35664335664,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1879,chinese haikwan tael,3.56437408106,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1880,chinese haikwan tael,3.44703770197,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1881,chinese haikwan tael,3.60902255639,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1882,chinese haikwan tael,3.50364963504,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1883,chinese haikwan tael,3.5687732342,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1884,chinese haikwan tael,3.58208955224,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1885,chinese haikwan tael,3.77952755906,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1886,chinese haikwan tael,3.99168399168,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1887,chinese haikwan tael,4.12017167382,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1888,chinese haikwan tael,4.25720620843,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1889,chinese haikwan tael,4.22907488987,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1890,chinese haikwan tael,3.85542168675,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1891,chinese haikwan tael,4.06779661017,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1892,chinese haikwan tael,4.59330143541,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1893,chinese haikwan tael,5.07936507937,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1894,chinese haikwan tael,6.25407166124,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1895,chinese haikwan tael,6.11464968153,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1896,chinese haikwan tael,6.0,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1897,chinese haikwan tael,6.71328671329,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1898,chinese haikwan tael,6.93140794224,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1899,chinese haikwan tael,6.64359861592,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1900,chinese haikwan tael,6.44295302013,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1901,chinese haikwan tael,6.74868189807,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1902,chinese haikwan tael,7.69230769231,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1903,chinese haikwan tael,7.57894736842,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1904,chinese haikwan tael,6.97674418605,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1905,chinese haikwan tael,6.64819944598,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1906,chinese haikwan tael,6.07594936709,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1907,chinese haikwan tael,6.15384615385,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1908,chinese haikwan tael,7.5,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1909,chinese haikwan tael,7.69539078156,VanDerEngP_ExchangeRatesInAsia18302003Unpublished,
1910,chinese haikwan tael,7.4274661545,MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Vol2,
1911,chinese haikwan tael,7.4418604651,MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Vol2,
1912,chinese haikwan tael,6.5529010268,MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Vol2,
1913,chinese haikwan tael,6.6206896581,MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Vol2,
