id,RICname_group,RICname_part
427,Belgium & Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State)
428,Belgium & Germany (Zollverein) & Iran (Persia) & Morocco & Sweden & World (other),Belgium
429,Belgium & Germany (Zollverein) & Iran (Persia) & Morocco & Sweden & World (other),Germany (Zollverein)
430,Belgium & Germany (Zollverein) & Iran (Persia) & Morocco & Sweden & World (other),Iran (Persia)
431,Belgium & Germany (Zollverein) & Iran (Persia) & Morocco & Sweden & World (other),Morocco
432,Belgium & Germany (Zollverein) & Iran (Persia) & Morocco & Sweden & World (other),World (other)
433,Belgium & Germany (Zollverein) & Iran (Persia) & Morocco & Sweden & World (other),Sweden
434,Belgium & Germany (Zollverein) & Italy & Netherlands & Russia (USSR),Belgium
435,Belgium & Germany (Zollverein) & Italy & Netherlands & Russia (USSR),Germany (Zollverein)
436,Belgium & Germany (Zollverein) & Italy & Netherlands & Russia (USSR),Italy
437,Belgium & Germany (Zollverein) & Italy & Netherlands & Russia (USSR),Netherlands
438,Belgium & Germany (Zollverein) & Italy & Netherlands & Russia (USSR),Russia (USSR)
439,Belgium & Germany (Zollverein) & Morocco & Spain & World (other),Belgium
440,Belgium & Germany (Zollverein) & Morocco & Spain & World (other),Germany (Zollverein)
441,Belgium & Germany (Zollverein) & Morocco & Spain & World (other),Morocco
442,Belgium & Germany (Zollverein) & Morocco & Spain & World (other),World (other)
443,Belgium & Germany (Zollverein) & Morocco & Spain & World (other),Spain
444,Belgium & Germany (Zollverein) & Netherlands,Belgium
445,Belgium & Germany (Zollverein) & Netherlands,Germany (Zollverein)
446,Belgium & Germany (Zollverein) & Netherlands,Netherlands
447,Belgium & Luxemburg,Belgium
448,Belgium & Luxemburg,Luxemburg
449,Belgium & Netherlands,Belgium
450,Belgium & Netherlands,Netherlands
451,Belize (British Honduras) & British West Indies,Belize (British Honduras)
452,Belize (British Honduras) & British West Indies,British West Indies
453,Belize (British Honduras) & British West Indies & Guyana (British Guiana),Belize (British Honduras)
454,Belize (British Honduras) & British West Indies & Guyana (British Guiana),British West Indies
455,Belize (British Honduras) & British West Indies & Guyana (British Guiana),Guyana (British Guiana)
456,Belize (British Honduras) & Campeche,Belize (British Honduras)
457,Belize (British Honduras) & Campeche,Campeche
458,Belize (British Honduras) & Campeche & Mosquito Coast,Belize (British Honduras)
459,Belize (British Honduras) & Campeche & Mosquito Coast,Campeche
460,Belize (British Honduras) & Campeche & Mosquito Coast,Mosquito Coast
461,Belize (British Honduras) & Costa Rica & El Salvador,Belize (British Honduras)
462,Belize (British Honduras) & Costa Rica & El Salvador,Costa Rica
463,Belize (British Honduras) & Costa Rica & El Salvador,El Salvador
464,Bengal & Chennai (Madras) & Mumbai (Bombay) & Myanmar (Burma),Bengal
465,Bengal & Chennai (Madras) & Mumbai (Bombay) & Myanmar (Burma),Chennai (Madras)
466,Bengal & Chennai (Madras) & Mumbai (Bombay) & Myanmar (Burma),Mumbai (Bombay)
467,Bengal & Chennai (Madras) & Mumbai (Bombay) & Myanmar (Burma),Myanmar (Burma)
468,Bengal & India & Persian Gulf,Bengal
469,Bengal & India & Persian Gulf,India
470,Bengal & India & Persian Gulf,Persian Gulf
471,Bengal & Myanmar (Burma),Bengal
472,Bengal & Myanmar (Burma),Myanmar (Burma)
473,Bengal & Sri Lanka (Ceylon),Bengal
474,Bengal & Sri Lanka (Ceylon),Sri Lanka (Ceylon)
475,Benghazi & Tripolitania (Regency of Tripoli),Benghazi
476,Benghazi & Tripolitania (Regency of Tripoli),Tripolitania (Regency of Tripoli)
477,Benin (Dahomey) & German Togoland & Ivory Coast,Benin (Dahomey)
478,Benin (Dahomey) & German Togoland & Ivory Coast,German Togoland
479,Benin (Dahomey) & German Togoland & Ivory Coast,Ivory Coast
480,Berbera & Bulhar,Berbera
481,Berbera & Bulhar,Bulhar
482,Berbera & Bulhar & Zeila,Berbera
483,Berbera & Bulhar & Zeila,Bulhar
484,Berbera & Bulhar & Zeila,Zeila
485,Berbera & Zeila,Berbera
486,Berbera & Zeila,Zeila
487,Berbice & Demerara,Berbice
488,Berbice & Demerara,Demerara
489,Bermuda & British West Indies,Bermuda
490,Bermuda & British West Indies,British West Indies
491,Berwick & Isle of Man & United Kingdom,Berwick
492,Berwick & Isle of Man & United Kingdom,Isle of Man
493,Berwick & Isle of Man & United Kingdom,United Kingdom
494,Bhutan & Nepal,Bhutan
495,Bhutan & Nepal,Nepal
496,Black Sea (Asia) & Mediterranean Sea (Africa) & Mediterranean Sea (Asia),Black Sea (Asia)
497,Black Sea (Asia) & Mediterranean Sea (Africa) & Mediterranean Sea (Asia),Mediterranean Sea (Africa)
498,Black Sea (Asia) & Mediterranean Sea (Africa) & Mediterranean Sea (Asia),Mediterranean Sea (Asia)
499,Black Sea (Europe) & Mediterranean Sea (Europe),Black Sea (Europe)
500,Black Sea (Europe) & Mediterranean Sea (Europe),Mediterranean Sea (Europe)
501,Black Sea & Levant,Black Sea
502,Black Sea & Levant,Levant
503,Black Sea & Mediterranean Sea,Black Sea
504,Black Sea & Mediterranean Sea,Mediterranean Sea
505,Black Sea & Russia (USSR),Black Sea
506,Black Sea & Russia (USSR),Russia (USSR)
507,Borneo & Malaysia (British Malaya),Borneo
508,Borneo & Malaysia (British Malaya),Malaysia (British Malaya)
509,Botswana (Bechuanaland) & Eswatini (Swaziland) & Lesotho (Basutoland),Botswana (Bechuanaland)
510,Botswana (Bechuanaland) & Eswatini (Swaziland) & Lesotho (Basutoland),Eswatini (Swaziland)
511,Botswana (Bechuanaland) & Eswatini (Swaziland) & Lesotho (Basutoland),Lesotho (Basutoland)
512,Botswana (Bechuanaland) & South Africa,Botswana (Bechuanaland)
513,Botswana (Bechuanaland) & South Africa,South Africa
514,Brazil & Chile,Brazil
515,Brazil & Chile,Chile
516,Brazil & Colombia (New Granada) (Gran Colombia),Brazil
517,Brazil & Colombia (New Granada) (Gran Colombia),Colombia (New Granada) (Gran Colombia)
518,Brazil & Northern America & West Indies,Brazil
519,Brazil & Northern America & West Indies,Northern America
520,Brazil & Northern America & West Indies,West Indies
521,Brazil & Portuguese America (other),Brazil
522,Brazil & Portuguese America (other),Portuguese America (other)
523,Bremen & Hamburg,Bremen
524,Bremen & Hamburg,Hamburg
525,Bremen & Hamburg & Mecklenburg Schwerin,Bremen
526,Bremen & Hamburg & Mecklenburg Schwerin,Hamburg
527,Bremen & Hamburg & Mecklenburg Schwerin,Mecklenburg Schwerin
528,Bremen & Hamburg & Prussia,Bremen
529,Bremen & Hamburg & Prussia,Hamburg
530,Bremen & Hamburg & Prussia,Prussia
531,Bremen & Hanover,Bremen
532,Bremen & Hanover,Hanover
533,Bremen & Lübeck,Bremen
534,Bremen & Lübeck,Lübeck
535,Bremen & Prussia,Bremen
536,Bremen & Prussia,Prussia
537,British Africa (other) & Portuguese Africa & Zimbabwe (Rhodesia) (Southern Rhodesia),British Africa (other)
538,British Africa (other) & Portuguese Africa & Zimbabwe (Rhodesia) (Southern Rhodesia),Portuguese Africa
539,British Africa (other) & Portuguese Africa & Zimbabwe (Rhodesia) (Southern Rhodesia),Zimbabwe (Rhodesia) (Southern Rhodesia)
540,British Africa & Gibraltar,British Africa
541,British Africa & Gibraltar,Gibraltar
542,British America (other) & Canada (Province of Canada),British America (other)
543,British America (other) & Canada (Province of Canada),Canada (Province of Canada)
544,British America & Newfoundland and Labrador (Newfoundland),British America
545,British America & Newfoundland and Labrador (Newfoundland),Newfoundland and Labrador (Newfoundland)
546,British America & United States of America,British America
547,British America & United States of America,United States of America
548,British Asia (other) & India,British Asia (other)
549,British Asia (other) & India,India
550,British Asia & British Oceania,British Asia
551,British Asia & British Oceania,British Oceania
552,British Borneo & Dutch Borneo,British Borneo
553,British Borneo & Dutch Borneo,Dutch Borneo
554,British Borneo & Malaysia (British Malaya),British Borneo
555,British Borneo & Malaysia (British Malaya),Malaysia (British Malaya)
556,British Borneo & Straits Settlements,British Borneo
557,British Borneo & Straits Settlements,Straits Settlements
558,British Cameroons & Cameroun (French Cameroons),British Cameroons
559,British Cameroons & Cameroun (French Cameroons),Cameroun (French Cameroons)
560,British Cameroons & Nigeria,British Cameroons
561,British Cameroons & Nigeria,Nigeria
562,British Cameroons & Northern Nigeria (British Nigeria),British Cameroons
563,British Cameroons & Northern Nigeria (British Nigeria),Northern Nigeria (British Nigeria)
564,British Colonies & United Kingdom,British Colonies
565,British Colonies & United Kingdom,United Kingdom
566,British Columbia & British North Eastern America,British Columbia
567,British Columbia & British North Eastern America,British North Eastern America
568,British Columbia & Rupert's Land,British Columbia
569,British Columbia & Rupert's Land,Rupert's Land
570,British Columbia & Vancouver,British Columbia
571,British Columbia & Vancouver,Vancouver
572,British Eastern Africa & Cape Colony (Cape of Good Hope) & Egypt Arab Republic (Egypt) & Madagascar (Malagasy Republic),British Eastern Africa
573,British Eastern Africa & Cape Colony (Cape of Good Hope) & Egypt Arab Republic (Egypt) & Madagascar (Malagasy Republic),Cape Colony (Cape of Good Hope)
574,British Eastern Africa & Cape Colony (Cape of Good Hope) & Egypt Arab Republic (Egypt) & Madagascar (Malagasy Republic),Egypt Arab Republic (Egypt)
575,British Eastern Africa & Cape Colony (Cape of Good Hope) & Egypt Arab Republic (Egypt) & Madagascar (Malagasy Republic),Madagascar (Malagasy Republic)
576,British Eastern Africa & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),British Eastern Africa
577,British Eastern Africa & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),Cape Colony (Cape of Good Hope)
578,British Eastern Africa & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),Madagascar (Malagasy Republic)
579,British Eastern Africa & Pemba Island & Zanzibar,British Eastern Africa
580,British Eastern Africa & Pemba Island & Zanzibar,Pemba Island
581,British Eastern Africa & Pemba Island & Zanzibar,Zanzibar
582,British East Indies & Thailand (Siam),British East Indies
583,British East Indies & Thailand (Siam),Thailand (Siam)
584,British Europe & United Kingdom,British Europe
585,British Europe & United Kingdom,United Kingdom
586,British Mediterranean Sea & United Kingdom,British Mediterranean Sea
587,British Mediterranean Sea & United Kingdom,United Kingdom
588,British Northern America (other) & Canada (Province of Canada),British Northern America (other)
589,British Northern America (other) & Canada (Province of Canada),Canada (Province of Canada)
590,British Northern America & United States of America,British Northern America
591,British Northern America & United States of America,United States of America
592,British Oceania & New Zealand,British Oceania
593,British Oceania & New Zealand,New Zealand
594,Cape Colony (Cape of Good Hope) & South Africa (other),Cape Colony (Cape of Good Hope)
595,Cape Colony (Cape of Good Hope) & South Africa (other),South Africa (other)
596,Eastern Africa & South Africa & Western Africa,Eastern Africa
597,Eastern Africa & South Africa & Western Africa,South Africa
598,Eastern Africa & South Africa & Western Africa,Western Africa
599,British Southern America & British West Indies & Guyana (British Guiana),British Southern America
600,British Southern America & British West Indies & Guyana (British Guiana),British West Indies
601,British Southern America & British West Indies & Guyana (British Guiana),Guyana (British Guiana)
602,British Southern America & French Southern America,British Southern America
603,British Southern America & French Southern America,French Southern America
604,British Togoland & Togo (French Togoland),British Togoland
605,British Togoland & Togo (French Togoland),Togo (French Togoland)
606,British Virgin Is. & Puerto Rico & Virgin Islands (Danish West Indies),British Virgin Is.
607,British Virgin Is. & Puerto Rico & Virgin Islands (Danish West Indies),Puerto Rico
608,British Virgin Is. & Puerto Rico & Virgin Islands (Danish West Indies),Virgin Islands (Danish West Indies)
609,British Western Africa & Canada (Province of Canada),British Western Africa
610,British Western Africa & Canada (Province of Canada),Canada (Province of Canada)
611,British Western Africa & French West Africa (other) & Liberia & Spanish Africa,British Western Africa
612,British Western Africa & French West Africa (other) & Liberia & Spanish Africa,French West Africa (other)
613,British Western Africa & French West Africa (other) & Liberia & Spanish Africa,Liberia
614,British Western Africa & French West Africa (other) & Liberia & Spanish Africa,Spanish Africa
615,British Western Africa & South Africa,British Western Africa
616,British Western Africa & South Africa,South Africa
617,British West Indies (other) & Jamaica & Jamaica Dependencies & Trinidad and Tobago,British West Indies (other)
618,British West Indies (other) & Jamaica & Jamaica Dependencies & Trinidad and Tobago,Jamaica
619,British West Indies (other) & Jamaica & Jamaica Dependencies & Trinidad and Tobago,Jamaica Dependencies
620,British West Indies (other) & Jamaica & Jamaica Dependencies & Trinidad and Tobago,Trinidad and Tobago
621,British West Indies & Guyana (British Guiana),British West Indies
622,British West Indies & Guyana (British Guiana),Guyana (British Guiana)
623,British West Indies & Swedish West Indies,British West Indies
624,British West Indies & Swedish West Indies,Swedish West Indies
625,British West Indies & United Kingdom,British West Indies
626,British West Indies & United Kingdom,United Kingdom
627,Brunei & Sabah (North Borneo) & Sarawak,Brunei
628,Brunei & Sabah (North Borneo) & Sarawak,Sabah (North Borneo)
629,Brunei & Sabah (North Borneo) & Sarawak,Sarawak
630,Brunei & Sarawak,Brunei
631,Brunei & Sarawak,Sarawak
632,Buenos Aires & Montevideo,Buenos Aires
633,Buenos Aires & Montevideo,Montevideo
634,Bulgaria & Crete,Bulgaria
635,Bulgaria & Crete,Crete
636,Bulgaria & Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),Bulgaria
637,Bulgaria & Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),Egypt Arab Republic (Egypt)
638,Bulgaria & Egypt Arab Republic (Egypt) & Turkey (Ottoman Empire),Turkey (Ottoman Empire)
639,Bulgaria & European Turkey,Bulgaria
640,Bulgaria & European Turkey,European Turkey
641,Bulgaria & Kingdom of Serbia,Bulgaria
642,Bulgaria & Kingdom of Serbia,Kingdom of Serbia
643,Bulgaria & Kingdom of Serbia & Montenegro,Bulgaria
644,Bulgaria & Kingdom of Serbia & Montenegro,Kingdom of Serbia
645,Bulgaria & Kingdom of Serbia & Montenegro,Montenegro
646,Bulgaria & Kingdom of Serbia & Montenegro & Romania,Bulgaria
647,Bulgaria & Kingdom of Serbia & Montenegro & Romania,Kingdom of Serbia
648,Bulgaria & Kingdom of Serbia & Montenegro & Romania,Montenegro
649,Bulgaria & Kingdom of Serbia & Montenegro & Romania,Romania
650,Bulgaria & Kingdom of Serbia & Romania,Bulgaria
651,Bulgaria & Kingdom of Serbia & Romania,Kingdom of Serbia
652,Bulgaria & Kingdom of Serbia & Romania,Romania
653,Bulgaria & Turkey (Ottoman Empire),Bulgaria
654,Bulgaria & Turkey (Ottoman Empire),Turkey (Ottoman Empire)
655,Cambodia (Kampuchea) & Cochin China,Cambodia (Kampuchea)
656,Cambodia (Kampuchea) & Cochin China,Cochin China
657,Cambodia (Kampuchea) & Cochin China & Tonkin,Cambodia (Kampuchea)
658,Cambodia (Kampuchea) & Cochin China & Tonkin,Cochin China
659,Cambodia (Kampuchea) & Cochin China & Tonkin,Tonkin
660,Cameroun (French Cameroons) & French West Africa & Togo (French Togoland),Cameroun (French Cameroons)
661,Cameroun (French Cameroons) & French West Africa & Togo (French Togoland),French West Africa
662,Cameroun (French Cameroons) & French West Africa & Togo (French Togoland),Togo (French Togoland)
663,Cameroun (French Cameroons) & Togo (French Togoland),Cameroun (French Cameroons)
664,Cameroun (French Cameroons) & Togo (French Togoland),Togo (French Togoland)
665,Canada (Province of Canada) & Central America & Southern America & United States of America,Canada (Province of Canada)
666,Canada (Province of Canada) & Central America & Southern America & United States of America,Central America
667,Canada (Province of Canada) & Central America & Southern America & United States of America,Southern America
668,Canada (Province of Canada) & Central America & Southern America & United States of America,United States of America
669,Canada (Province of Canada) & Central America & United States of America,Canada (Province of Canada)
670,Canada (Province of Canada) & Central America & United States of America,Central America
671,Canada (Province of Canada) & Central America & United States of America,United States of America
672,Canada (Province of Canada) & Newfoundland and Labrador (Newfoundland),Canada (Province of Canada)
673,Canada (Province of Canada) & Newfoundland and Labrador (Newfoundland),Newfoundland and Labrador (Newfoundland)
674,Canada (Province of Canada) & Southern America,Canada (Province of Canada)
675,Canada (Province of Canada) & Southern America,Southern America
676,Canada (Province of Canada) & Southern America & United States of America,Canada (Province of Canada)
677,Canada (Province of Canada) & Southern America & United States of America,Southern America
678,Canada (Province of Canada) & Southern America & United States of America,United States of America
679,Canada (Province of Canada) & United States of America,Canada (Province of Canada)
680,Canada (Province of Canada) & United States of America,United States of America
681,Canary Is. & Cape Colony (Cape of Good Hope),Canary Is.
682,Canary Is. & Cape Colony (Cape of Good Hope),Cape Colony (Cape of Good Hope)
683,Canary Is. & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),Canary Is.
684,Canary Is. & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),Cape Colony (Cape of Good Hope)
685,Canary Is. & Cape Colony (Cape of Good Hope) & Madagascar (Malagasy Republic),Madagascar (Malagasy Republic)
686,Canary Is. & Cape Colony (Cape of Good Hope) & Madeira Isles,Canary Is.
687,Canary Is. & Cape Colony (Cape of Good Hope) & Madeira Isles,Cape Colony (Cape of Good Hope)
688,Canary Is. & Cape Colony (Cape of Good Hope) & Madeira Isles,Madeira Isles
689,Canary Is. & Madeira Isles,Canary Is.
690,Canary Is. & Madeira Isles,Madeira Isles
691,Canary Is. & Spain,Canary Is.
692,Canary Is. & Spain,Spain
693,Canary Is. & Spanish Morocco,Canary Is.
694,Canary Is. & Spanish Morocco,Spanish Morocco
695,Canary Is. & Tenerife,Canary Is.
696,Canary Is. & Tenerife,Tenerife
697,Canary Is. & Western Africa,Canary Is.
698,Canary Is. & Western Africa,Western Africa
699,Cape Breton I. & Nova Scotia,Cape Breton I.
700,Cape Breton I. & Nova Scotia,Nova Scotia
701,Cape Colony (Cape of Good Hope) & East Indies & Mauritius,Cape Colony (Cape of Good Hope)
702,Cape Colony (Cape of Good Hope) & East Indies & Mauritius,East Indies
703,Cape Colony (Cape of Good Hope) & East Indies & Mauritius,Mauritius
704,Cape Colony (Cape of Good Hope) & Eastern Africa,Cape Colony (Cape of Good Hope)
705,Cape Colony (Cape of Good Hope) & Eastern Africa,Eastern Africa
706,Cape Colony (Cape of Good Hope) & Gambia & Guinea (French Guinea) (Rivieres du Sud) & Mauritius & Senegal,Cape Colony (Cape of Good Hope)
707,Cape Colony (Cape of Good Hope) & Gambia & Guinea (French Guinea) (Rivieres du Sud) & Mauritius & Senegal,Gambia
708,Cape Colony (Cape of Good Hope) & Gambia & Guinea (French Guinea) (Rivieres du Sud) & Mauritius & Senegal,Guinea (French Guinea) (Rivieres du Sud)
709,Cape Colony (Cape of Good Hope) & Gambia & Guinea (French Guinea) (Rivieres du Sud) & Mauritius & Senegal,Mauritius
710,Cape Colony (Cape of Good Hope) & Gambia & Guinea (French Guinea) (Rivieres du Sud) & Mauritius & Senegal,Senegal
711,Cape Colony (Cape of Good Hope) & Guinea (French Guinea) (Rivieres du Sud),Cape Colony (Cape of Good Hope)
712,Cape Colony (Cape of Good Hope) & Guinea (French Guinea) (Rivieres du Sud),Guinea (French Guinea) (Rivieres du Sud)
713,Cape Colony (Cape of Good Hope) & India,Cape Colony (Cape of Good Hope)
714,Cape Colony (Cape of Good Hope) & India,India
715,Cape Colony (Cape of Good Hope) & Mauritius,Cape Colony (Cape of Good Hope)
716,Cape Colony (Cape of Good Hope) & Mauritius,Mauritius
717,Cape Colony (Cape of Good Hope) & Mauritius & New South Wales,Cape Colony (Cape of Good Hope)
718,Cape Colony (Cape of Good Hope) & Mauritius & New South Wales,Mauritius
719,Cape Colony (Cape of Good Hope) & Mauritius & New South Wales,New South Wales
720,Cape Colony (Cape of Good Hope) & Natal,Cape Colony (Cape of Good Hope)
721,Cape Colony (Cape of Good Hope) & Natal,Natal
722,Cape Colony (Cape of Good Hope) & Western Africa,Cape Colony (Cape of Good Hope)
723,Cape Colony (Cape of Good Hope) & Western Africa,Western Africa
724,Cape Verde & East Timor (Portuguese Timor) & Macao & Portuguese India & Sao Tome-Principe,Cape Verde
725,Cape Verde & East Timor (Portuguese Timor) & Macao & Portuguese India & Sao Tome-Principe,East Timor (Portuguese Timor)
726,Cape Verde & East Timor (Portuguese Timor) & Macao & Portuguese India & Sao Tome-Principe,Macao
727,Cape Verde & East Timor (Portuguese Timor) & Macao & Portuguese India & Sao Tome-Principe,Portuguese India
728,Cape Verde & East Timor (Portuguese Timor) & Macao & Portuguese India & Sao Tome-Principe,Sao Tome-Principe
729,Cape Verde & Goree & Senegal & Windward Coast of Africa,Cape Verde
730,Cape Verde & Goree & Senegal & Windward Coast of Africa,Goree
731,Cape Verde & Goree & Senegal & Windward Coast of Africa,Senegal
732,Cape Verde & Goree & Senegal & Windward Coast of Africa,Windward Coast of Africa
733,Casablanca & El Jadida (Mazaghan),Casablanca
734,Casablanca & El Jadida (Mazaghan),El Jadida (Mazaghan)
735,Central African Republic (Ubangi Shari) & Chad,Central African Republic (Ubangi Shari)
736,Central African Republic (Ubangi Shari) & Chad,Chad
737,Central African Republic (Ubangi Shari) & Congo (Brazzaville) (French Congo) (Middle Congo),Central African Republic (Ubangi Shari)
738,Central African Republic (Ubangi Shari) & Congo (Brazzaville) (French Congo) (Middle Congo),Congo (Brazzaville) (French Congo) (Middle Congo)
739,Central America & Guatemala,Central America
740,Central America & Guatemala,Guatemala
741,Central America & Mexico,Central America
742,Central America & Mexico,Mexico
743,Central America & Mexico (other),Central America
744,Central America & Mexico (other),Mexico (other)
745,Central America & Mexico & Panama,Central America
746,Central America & Mexico & Panama,Mexico
747,Central America & Mexico & Panama,Panama
748,Central America & Mexico & West Indies,Central America
749,Central America & Mexico & West Indies,Mexico
750,Central America & Mexico & West Indies,West Indies
751,Central America & Southern America,Central America
752,Central America & Southern America,Southern America
753,Central America & Southern America & West Indies (other),Central America
754,Central America & Southern America & West Indies (other),Southern America
755,Central America & Southern America & West Indies (other),West Indies (other)
756,Central America & Spanish America,Central America
757,Central America & Spanish America,Spanish America
758,Central America & West Indies,Central America
759,Central America & West Indies,West Indies
760,Ceuta & Melilla,Ceuta
761,Ceuta & Melilla,Melilla
762,Channel Is. & Isle of Man,Channel Is.
763,Channel Is. & Isle of Man,Isle of Man
764,Channel Is. & United Kingdom,Channel Is.
765,Channel Is. & United Kingdom,United Kingdom
766,Chennai (Madras) & Coromandel Coast Posts,Chennai (Madras)
767,Chennai (Madras) & Coromandel Coast Posts,Coromandel Coast Posts
768,Chennai (Madras) & India (Coast),Chennai (Madras)
769,Chennai (Madras) & India (Coast),India (Coast)
770,Chennai (Madras) & Kolkata (Calcutta),Chennai (Madras)
771,Chennai (Madras) & Kolkata (Calcutta),Kolkata (Calcutta)
772,Chile & Cuba & Peru & World (other),Chile
773,Chile & Cuba & Peru & World (other),Cuba
774,Chile & Cuba & Peru & World (other),World (other)
775,Chile & Cuba & Peru & World (other),Peru
776,Chile & India,Chile
777,Chile & India,India
778,Chile & Patagonia (Pacific Coast),Chile
779,Chile & Patagonia (Pacific Coast),Patagonia (Pacific Coast)
780,Chile & Peru,Chile
781,Chile & Peru,Peru
782,Chile & Southern America (other) & Uruguay,Chile
783,Chile & Southern America (other) & Uruguay,Southern America (other)
784,Chile & Southern America (other) & Uruguay,Uruguay
785,Chinese Treaty Ports & Hong Kong,Chinese Treaty Ports
786,Chinese Treaty Ports & Hong Kong,Hong Kong
787,Christmas I. & Cocos (Keeling) Is.,Christmas I.
788,Christmas I. & Cocos (Keeling) Is.,Cocos (Keeling) Is.
789,Cochin China & Java & Philippines & Thailand (Siam),Cochin China
790,Cochin China & Java & Philippines & Thailand (Siam),Java
791,Cochin China & Java & Philippines & Thailand (Siam),Philippines
792,Cochin China & Java & Philippines & Thailand (Siam),Thailand (Siam)
793,Cochin China & Macao & People's Republic of China (China),Cochin China
794,Cochin China & Macao & People's Republic of China (China),Macao
795,Cochin China & Macao & People's Republic of China (China),People's Republic of China (China)
796,Cochin China & Oceania & People's Republic of China (China),Cochin China
797,Cochin China & Oceania & People's Republic of China (China),Oceania
798,Cochin China & Oceania & People's Republic of China (China),People's Republic of China (China)
799,Cochin China & Oceania & People's Republic of China (China) & Philippines,Cochin China
800,Cochin China & Oceania & People's Republic of China (China) & Philippines,Oceania
801,Cochin China & Oceania & People's Republic of China (China) & Philippines,People's Republic of China (China)
802,Cochin China & Oceania & People's Republic of China (China) & Philippines,Philippines
803,Cochin China & People's Republic of China (China),Cochin China
804,Cochin China & People's Republic of China (China),People's Republic of China (China)
805,Cochin China & Thailand (Siam),Cochin China
806,Cochin China & Thailand (Siam),Thailand (Siam)
807,Cochin China & Tonkin,Cochin China
808,Cochin China & Tonkin,Tonkin
809,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Colombia (New Granada) (Gran Colombia)
810,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Ecuador
811,Colombia (New Granada) (Gran Colombia) & Ecuador & Venezuela,Venezuela
812,Colombia (New Granada) (Gran Colombia) & Galapagos Is.,Colombia (New Granada) (Gran Colombia)
813,Colombia (New Granada) (Gran Colombia) & Galapagos Is.,Galapagos Is.
814,Colombia (New Granada) (Gran Colombia) & Guatemala,Colombia (New Granada) (Gran Colombia)
815,Colombia (New Granada) (Gran Colombia) & Guatemala,Guatemala
816,Colombia (New Granada) (Gran Colombia) & Guatemala & Venezuela,Colombia (New Granada) (Gran Colombia)
817,Colombia (New Granada) (Gran Colombia) & Guatemala & Venezuela,Guatemala
818,Colombia (New Granada) (Gran Colombia) & Guatemala & Venezuela,Venezuela
819,Colombia (New Granada) (Gran Colombia) & Panama,Colombia (New Granada) (Gran Colombia)
820,Colombia (New Granada) (Gran Colombia) & Panama,Panama
821,Colombia (New Granada) (Gran Colombia) & Venezuela,Colombia (New Granada) (Gran Colombia)
822,Colombia (New Granada) (Gran Colombia) & Venezuela,Venezuela
823,Colón & Panama,Colón
824,Colón & Panama,Panama
825,Comoros & Madagascar (Malagasy Republic),Comoros
826,Comoros & Madagascar (Malagasy Republic),Madagascar (Malagasy Republic)
827,Congo (Brazzaville) (French Congo) (Middle Congo) & French Africa (other) & Senegal,Congo (Brazzaville) (French Congo) (Middle Congo)
828,Congo (Brazzaville) (French Congo) (Middle Congo) & French Africa (other) & Senegal,French Africa (other)
829,Congo (Brazzaville) (French Congo) (Middle Congo) & French Africa (other) & Senegal,Senegal
832,Congo (Brazzaville) (French Congo) (Middle Congo) & French West Africa (other) & Senegal,Congo (Brazzaville) (French Congo) (Middle Congo)
833,Congo (Brazzaville) (French Congo) (Middle Congo) & French West Africa (other) & Senegal,French West Africa (other)
834,Congo (Brazzaville) (French Congo) (Middle Congo) & French West Africa (other) & Senegal,Senegal
835,Congo (Brazzaville) (French Congo) (Middle Congo) & Senegal,Congo (Brazzaville) (French Congo) (Middle Congo)
836,Congo (Brazzaville) (French Congo) (Middle Congo) & Senegal,Senegal
837,Corfu & Malta,Corfu
838,Corfu & Malta,Malta
839,Coromandel Coast Posts & Malabar Coast,Coromandel Coast Posts
840,Coromandel Coast Posts & Malabar Coast,Malabar Coast
841,Costa Rica & El Salvador & Guatemala,Costa Rica
842,Costa Rica & El Salvador & Guatemala,El Salvador
843,Costa Rica & El Salvador & Guatemala,Guatemala
844,Costa Rica & El Salvador & Guatemala & Honduras,Costa Rica
845,Costa Rica & El Salvador & Guatemala & Honduras,El Salvador
846,Costa Rica & El Salvador & Guatemala & Honduras,Guatemala
847,Costa Rica & El Salvador & Guatemala & Honduras,Honduras
848,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,Costa Rica
849,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,El Salvador
850,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,Guatemala
851,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,Honduras
852,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,Nicaragua
853,Costa Rica & Guatemala & Honduras,Costa Rica
854,Costa Rica & Guatemala & Honduras,Guatemala
