year,reporting,partner,expimp,GROUP_CONCAT(original_partner),GROUP_CONCAT(source),GROUP_CONCAT(spegen),GROUP_CONCAT(species_bullions),GROUP_CONCAT(transport_type),nb_dup
1926,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1926,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1927,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1927,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1928,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1928,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1929,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1929,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1930,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1930,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19301931_Iv2iv6",,,,2
1931,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"oman,mascate","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19311932_5,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19311932_5",,,,2
1931,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"oman,mascate","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19311932_5,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19311932_5",,,,2
1932,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"oman,mascate","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19321933_89,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19321933_89",,,,2
1932,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"oman,mascate","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19321933_89,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19321933_89",,,,2
1933,French West Africa,Belgium,Imp,"belgique,belgique","BulletinMensuelDeLagenceConomiqueDeLaof_1935_Special_4,AnnuaireStatistiqueDeLaFrance_1936",Spe,,,2
1933,French West Africa,Germany (Zollverein),Imp,"allemagne,allemagne","BulletinMensuelDeLagenceConomiqueDeLaof_1935_Special_4,AnnuaireStatistiqueDeLaFrance_1936",Spe,,,2
1933,French West Africa,Japan,Imp,"japon,japon","BulletinMensuelDeLagenceConomiqueDeLaof_1935_Special_4,AnnuaireStatistiqueDeLaFrance_1936",Spe,,,2
1933,French West Africa,Netherlands,Imp,"hollande,pays-bas","BulletinMensuelDeLagenceConomiqueDeLaof_1935_Special_4,AnnuaireStatistiqueDeLaFrance_1936",Spe,,,2
1933,French West Africa,United Kingdom,Imp,"angleterre,angleterre","BulletinMensuelDeLagenceConomiqueDeLaof_1935_Special_4,AnnuaireStatistiqueDeLaFrance_1936",Spe,,,2
1933,French West Africa,United States of America,Imp,"etats-unis,etats-unis","BulletinMensuelDeLagenceConomiqueDeLaof_1935_Special_4,AnnuaireStatistiqueDeLaFrance_1936",Spe,,,2
1933,French West Africa,World as reported,Imp,"total,monde","BulletinMensuelDeLagenceConomiqueDeLaof_1935_Special_4,AnnuaireStatistiqueDeLaFrance_1936",Spe,,,2
1933,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"oman,mascate","StatistiqueCommercialeDeLiranTableauGnralDuCommerceAvecLesPaysTrangers_19331934_89,StatistiqueCommercialeDeLiranTableauGnralDuCommerceAvecLesPaysTrangers_19331934_89",,,,2
1933,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"oman,mascate","StatistiqueCommercialeDeLiranTableauGnralDuCommerceAvecLesPaysTrangers_19331934_89,StatistiqueCommercialeDeLiranTableauGnralDuCommerceAvecLesPaysTrangers_19331934_89",,,,2
1934,French West Africa,Belgium,Imp,"belgique,belgique","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,French West Africa,France,Imp,"france,france","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,French West Africa,French Colonies,Imp,"colonies françaises,colonies françaises","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,French West Africa,Germany (Zollverein),Imp,"allemagne,allemagne","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,French West Africa,Japan,Imp,"japon,japon","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,French West Africa,Netherlands,Imp,"pays-bas,hollande","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,French West Africa,United Kingdom,Imp,"angleterre,angleterre","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,French West Africa,United States of America,Imp,"etats-unis,etats-unis","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,French West Africa,World as reported,Imp,"monde,total","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1934,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"oman,mascate","TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935",,,,2
1934,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"oman,mascate","TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935",,,,2
1935,French West Africa,Belgium,Imp,"belgique,belgique","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,French West Africa,France,Imp,"france,france","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,French West Africa,French Colonies,Imp,"colonies françaises,colonies françaises","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,French West Africa,Germany (Zollverein),Imp,"allemagne,allemagne","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,French West Africa,Japan,Imp,"japon,japon","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,French West Africa,Netherlands,Imp,"pays-bas,hollande","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,French West Africa,United Kingdom,Imp,"angleterre,angleterre","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,French West Africa,United States of America,Imp,"etats-unis,etats-unis","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,French West Africa,World as reported,Imp,"monde,total","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1936_Special_45",Spe,,,2
1935,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"oman,mascate","TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19351936_89,TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19351936_89",,,,2
1935,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"oman,mascate","TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19351936_89,TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19351936_89",,,,2
1936,French West Africa,Belgium,Imp,"belgique,belgique","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,French West Africa,France,Imp,"france,france","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,French West Africa,French Colonies,Imp,"colonies françaises,colonies françaises","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,French West Africa,Germany (Zollverein),Imp,"allemagne,allemagne","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,French West Africa,Japan,Imp,"japon,japon","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,French West Africa,Netherlands,Imp,"pays-bas,hollande","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,French West Africa,United Kingdom,Imp,"angleterre,angleterre","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,French West Africa,United States of America,Imp,"etats-unis,etats-unis","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,French West Africa,World as reported,Imp,"monde,total","AnnuaireStatistiqueDeLaFrance_1936,BulletinMensuelDeLagenceConomiqueDeLaof_1938_Special_45",Spe,,,2
1936,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"oman,mascate","StatistiqueDuCommerceDeLiranAvecLesPaysTrangers_19361937_5758,StatistiqueDuCommerceDeLiranAvecLesPaysTrangers_19361937_5758",,,,2
1937,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"oman,mascate","StatistiqueDuCommerceDeLiranAvecLesPaysTrangers_19371938_4546,StatistiqueDuCommerceDeLiranAvecLesPaysTrangers_19371938_4546",,,,2
1937,Mozambique (Portuguese East Africa),India,Imp,"india-britânica,índia","ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1938_45,ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1937_9","Spe,Spe","S,S",,2
1938,Mozambique (Portuguese East Africa),India,Exp,"india-britânica,índia","ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1938_45,ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1938_9","Spe,Spe","S,S",,2
1938,Mozambique (Portuguese East Africa),India,Imp,"índia-britânica,índia","ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1938_45,ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1938_9","Spe,Spe","S,S",,2
